Network size	Joining time (ms)
1	48
2	627
3	1172
4	795
5	929
6	773
7	996
8	680
9	882
10	814
11	466
12	803
13	921
14	1912
15	1221
16	1039
17	1046
18	1167
19	444
20	829
21	1334
22	922
23	1607
24	958
25	1213
26	1197
27	1059
28	529
29	948
30	1576
31	1388
32	690
33	883
34	902
35	1075
36	1098
37	863
38	1315
39	913
40	1549
41	1184
42	1587
43	1521
44	1418
45	1728
46	580
47	880
48	1069
49	1461
50	1032
51	785
52	859
53	1266
54	499
55	961
56	1371
57	1726
58	786
59	1532
60	940
61	688
62	1193
63	1776
64	1829
65	1042
66	909
67	1019
68	1067
69	814
70	1080
71	1446
72	1323
73	1510
74	2246
75	1296
76	1017
77	1105
78	672
79	1462
80	1207
81	980
82	970
83	1340
84	1245
85	2493
86	1369
87	1340
88	1291
89	648
90	1061
91	442
92	1585
93	1115
94	1499
95	1007
96	1382
97	1430
98	893
99	1060
100	1350
101	1211
102	1087
103	1528
104	779
105	1258
106	1475
107	1203
108	1328
109	700
110	1507
111	1285
112	1248
113	938
114	1401
115	1930
116	1070
117	962
118	1334
119	1617
120	1496
121	1362
122	1608
123	924
124	969
125	1557
126	1687
127	994
128	1437
129	949
130	977
131	2208
132	1646
133	1163
134	853
135	762
136	1492
137	2700
138	1919
139	1666
140	1216
141	1934
142	1447
143	1428
144	1153
145	2225
146	1508
147	1091
148	1143
149	1263
150	1613
151	1633
152	1751
153	1018
154	1643
155	950
156	2030
157	2284
158	845
159	968
160	997
161	1429
162	1511
163	1805
164	1210
165	1363
166	1235
167	1120
168	694
169	2017
170	2204
171	1804
172	1231
173	1535
174	1608
175	1476
176	1104
177	1371
178	2078
179	1265
180	1199
181	1444
182	794
183	1309
184	1195
185	1159
186	1581
187	1805
188	1309
189	1641
190	1186
191	2797
192	1099
193	2038
194	1534
195	1401
196	1467
197	1422
198	3020
199	2059
200	1268
201	2320
202	1846
203	1524
204	1346
205	1561
206	1736
207	2244
208	1533
209	2069
210	1446
211	1412
212	1932
213	1030
214	1622
215	1378
216	1376
217	1757
218	1587
219	2240
220	807
221	1448
222	1282
223	1899
224	1362
225	1299
226	1336
227	1220
228	1030
229	931
230	1735
231	970
232	1233
