Network size	Joining time (ms)
1	795
2	740
3	595
4	580
5	589
6	1357
7	788
8	1149
9	1064
10	826
11	1355
12	974
13	767
14	1100
15	1116
16	1491
17	960
18	528
19	1456
20	924
21	718
22	995
23	1268
24	923
25	701
26	1048
27	1029
28	549
29	1839
30	1141
31	891
32	637
33	629
34	1318
35	992
36	1472
37	1487
38	1114
39	857
40	1554
41	1116
42	1045
43	2056
44	1570
45	775
46	748
47	952
48	982
49	1413
50	1457
51	1583
52	867
53	1574
54	1468
55	1436
56	1267
57	1377
58	1504
59	878
60	779
61	1868
62	1565
63	1059
64	863
65	1281
66	1242
67	750
68	2438
69	1528
70	1881
71	351
72	1327
73	1600
74	1200
75	1424
76	1932
77	1259
78	1586
79	2023
80	1361
81	832
82	1195
83	1382
84	666
85	1526
86	878
87	1298
88	1411
89	1016
90	1184
91	1643
92	1375
93	1597
94	1844
95	1249
96	822
97	1547
98	1598
99	1653
100	1349
101	1694
102	1994
103	1173
104	1771
105	1218
106	1711
107	1060
108	926
109	916
110	1482
111	1308
112	1413
113	1627
114	1160
115	1451
116	1350
117	1580
118	1532
119	1521
120	648
121	1158
122	2081
123	2016
124	1182
125	2113
126	1264
127	819
128	530
129	1208
130	888
131	1543
132	2675
133	1833
134	1902
135	1088
136	1196
137	1189
138	950
139	1289
140	1626
141	2638
142	1067
143	1319
144	1814
145	1565
146	1186
147	618
148	1151
149	1926
150	1348
151	1507
152	1395
153	1154
154	1456
155	1278
156	1283
157	739
158	439
159	1279
160	1794
161	2124
162	1191
163	1801
164	1707
165	1621
166	1052
167	1826
168	1371
169	1394
170	1728
171	993
172	1225
173	1259
174	2105
175	1767
176	1613
177	993
178	1826
179	1517
180	1851
181	972
182	1298
183	1731
184	1693
185	1152
186	1666
187	1657
188	1030
189	1630
190	1495
191	1611
192	1221
193	963
194	1390
195	1122
196	2083
197	1309
198	1419
199	861
200	2170
201	840
202	1145
203	1616
204	1539
205	1637
206	1827
207	1025
208	1669
209	963
210	867
211	1166
212	1191
213	1158
214	1291
215	1786
216	1311
217	1239
218	2300
219	998
220	853
221	1022
222	1798
223	1645
224	1266
225	908
226	1145
227	1716
228	1237
229	1140
230	1625
231	1628
232	1858
233	1446
234	1684
235	1234
236	2287
237	1424
238	1142
239	1366
240	850
241	1592
242	738
243	1721
244	1708
245	2064
246	1596
247	2118
248	1604
249	2205
250	1608
251	1742
252	1825
253	2476
254	1795
255	2214
256	1250
257	1889
258	2385
259	895
260	1716
261	2336
262	2833
263	1146
264	1530
265	1499
266	855
267	1390
268	1665
269	1532
270	1472
271	2429
272	1505
273	1130
274	1734
275	1714
276	916
277	1193
278	1870
279	1747
280	1715
281	1133
282	1125
283	733
284	883
285	1547
286	1156
287	1339
288	1612
289	1527
290	827
291	1899
292	2050
293	2027
294	478
295	1416
296	1408
297	709
298	1154
299	1071
300	1450
301	726
302	2095
303	1590
304	1673
305	1045
306	1284
307	1698
308	1030
309	2671
310	2063
311	1069
312	1424
313	1179
314	1575
315	1053
316	1991
317	648
318	1756
319	1312
320	1590
321	1278
322	1670
323	1792
324	2111
325	1382
326	729
327	2267
328	1955
