Network size	Joining time (ms)
1	679
2	954
3	916
4	550
5	1104
6	996
7	624
8	751
9	1129
10	1241
11	817
12	841
13	1272
14	1419
15	943
16	1482
17	963
18	1170
19	770
20	1217
21	1154
22	1601
23	1392
24	1039
25	1031
26	729
27	1258
28	1291
29	1619
30	1664
31	1040
32	955
33	1050
34	1196
35	1293
36	1109
37	1708
38	1504
39	1154
40	1793
41	1056
42	627
43	1220
44	988
45	1222
46	1370
47	1315
48	894
49	1759
50	1154
51	1276
52	1204
53	2476
54	989
55	844
56	762
57	628
58	1536
59	931
60	726
61	914
62	974
63	1944
64	1196
65	1104
66	1069
67	989
68	988
69	2430
70	900
71	1870
72	1174
73	1768
74	1522
75	1326
76	1259
77	950
78	842
79	830
80	1128
81	1002
82	1556
83	1522
84	1120
85	655
86	2032
87	1432
88	1368
89	2506
90	1364
91	1393
92	1237
93	895
94	1218
95	2023
96	1011
97	2080
98	1928
99	692
100	2202
101	1014
102	1275
103	1420
104	1508
105	1868
106	682
107	1406
108	1530
109	1091
110	487
111	1868
112	1124
113	1354
114	1862
115	1452
116	1144
117	1164
118	1247
119	1147
120	846
121	1686
122	1351
123	830
124	1273
125	1450
126	1062
127	1376
128	1053
129	975
130	1388
131	1384
132	1472
133	1579
134	1333
135	1756
136	1365
137	2250
138	1611
139	1639
140	928
141	1745
142	1324
143	927
144	858
145	1494
146	1172
147	985
148	1641
149	1392
150	2248
151	1077
152	963
153	1724
154	944
155	1222
156	1546
157	1100
158	939
159	1662
160	1049
161	1380
162	1776
163	1103
164	1290
165	1750
166	1376
167	1972
168	1582
169	1224
170	1256
171	1505
172	1660
173	1460
174	1768
175	1328
176	1695
177	1950
178	1549
179	631
180	1817
181	1151
182	2058
183	2012
184	1644
185	1341
186	1004
187	1747
188	1762
189	1296
190	901
191	1688
192	1671
193	1157
194	1150
195	1268
196	1278
197	1905
198	866
199	1467
200	1535
201	1611
202	1186
203	1599
204	1510
205	1824
206	933
207	983
208	2768
209	949
210	1041
211	1240
212	2485
213	1530
214	1618
215	1683
216	1103
217	1153
218	807
219	1403
220	1332
221	1193
222	1383
223	1734
224	1270
225	2149
226	948
227	1193
228	1119
229	2236
230	970
231	1659
232	1717
233	1740
234	1073
235	2358
236	1386
237	1974
238	1619
239	851
240	1010
241	1600
242	1335
243	1654
244	578
245	1576
246	1726
247	1298
248	1484
249	1405
250	1709
251	1666
252	610
253	1625
254	1391
255	1719
256	627
257	1489
258	2058
259	1125
260	1727
261	2055
262	1372
263	552
264	1530
265	1535
266	632
267	2250
268	770
269	903
270	1494
271	1091
272	1433
273	1492
274	580
275	1873
276	1892
277	1268
278	2234
279	1295
280	1267
281	1519
282	955
283	1468
284	1259
285	746
286	1279
287	967
288	908
289	2165
290	1454
291	1516
292	1337
293	1590
294	1687
295	1426
296	1415
297	1575
298	1576
299	1831
300	830
301	1223
302	1544
303	1210
304	1906
305	1499
306	1597
307	1801
308	1594
309	2126
310	2048
311	728
312	889
313	1919
314	1719
315	921
316	1349
317	1552
318	1175
319	1169
320	1507
321	1349
322	1921
323	1479
324	1227
325	1828
326	1492
327	1454
328	1904
329	2370
330	1114
331	1308
332	948
333	1439
334	1671
335	1231
336	873
337	1212
338	1169
339	1063
340	2581
341	1983
342	1498
343	1456
344	1342
345	1611
346	1614
347	2509
348	1199
349	1311
350	2081
351	1399
352	1479
353	1881
354	1192
355	1365
356	1556
357	1370
358	1442
359	1171
360	1189
361	866
362	1401
363	1224
364	409
365	1877
366	1204
367	1361
368	1843
369	1820
370	1771
371	2035
372	1784
373	1324
374	1773
375	1923
376	1232
377	1376
378	1242
379	2316
380	1883
381	1102
382	1202
383	2315
384	1691
385	1575
386	1529
387	1598
388	1825
389	893
390	1764
391	2264
392	1626
393	1678
394	1190
395	1015
396	1311
397	1344
398	1477
399	1177
400	1181
401	1521
402	536
403	1700
404	2089
405	1625
406	1519
407	1485
408	1848
409	1087
410	1926
411	1312
412	911
413	1597
414	1135
415	1322
416	1774
417	798
418	1751
419	1574
420	1838
421	1600
422	1645
423	1163
424	1834
425	1909
426	2341
427	1139
428	1402
429	669
430	1030
431	1481
432	1020
433	1326
434	1340
435	1006
436	1326
437	1660
438	1897
439	2333
440	1547
441	1175
442	1250
443	1227
444	972
445	1956
446	1955
447	1862
448	1695
449	1597
450	1508
451	1705
452	993
453	1908
454	1462
455	1391
456	1365
457	2272
458	1164
459	1554
460	1479
461	1350
462	1215
463	704
464	714
465	1455
466	1291
467	2004
468	1501
469	1738
470	2372
471	1999
472	1270
473	1217
474	1168
475	2218
476	1264
477	1477
478	1478
479	1150
480	1194
481	1734
482	1407
483	1349
484	1350
485	813
486	1491
487	1646
488	2099
489	1929
490	1739
491	2283
492	1603
493	861
494	1092
495	1622
496	1595
497	1437
498	1240
499	1370
500	1890
501	1288
502	1417
503	2425
504	1969
505	1388
506	1695
507	1399
508	1393
509	1603
510	1741
511	1565
512	1444
513	1431
514	1352
515	1219
516	1144
517	849
518	1469
519	1697
520	1719
521	1561
522	1183
523	1289
524	1326
525	1157
526	1594
527	996
528	1624
529	1026
530	1739
531	1611
532	1220
533	736
534	1371
535	1615
536	933
537	844
538	1717
539	1730
540	1341
541	1519
542	1468
543	2073
544	1688
545	1165
546	1360
547	859
548	1330
549	1363
550	1384
551	1012
552	1110
553	1502
554	1130
555	1156
556	2753
557	1735
558	1995
559	1626
560	1548
561	1841
562	1455
563	1506
564	1590
565	1586
566	1064
567	1639
568	2422
569	1691
570	1972
571	1014
572	1576
573	1882
574	1390
575	1551
576	778
577	1617
578	2662
579	2143
580	903
581	1518
582	1564
583	1480
584	2161
585	1807
586	1635
587	1416
588	1445
589	1123
590	1546
591	1526
592	1443
593	1250
594	1170
595	688
596	1380
597	1304
598	1328
599	1662
600	787
601	2502
602	1876
603	1847
604	619
605	1081
606	1553
607	1099
608	1166
609	1433
610	2072
611	1892
612	1555
613	1819
614	1510
615	1195
616	962
617	1424
618	1545
619	1559
620	2864
621	1367
622	1514
623	1580
624	2739
625	1041
626	1222
627	2488
628	1779
629	1366
630	1190
631	790
632	1235
633	1863
634	1654
635	1389
636	1614
637	1733
638	1819
639	1325
640	1609
641	1129
642	1479
643	1716
644	970
645	1027
646	1480
647	952
648	1553
649	926
650	1304
651	1658
652	2045
653	1436
654	1687
655	1229
656	1387
657	1742
658	1490
659	1471
660	1140
661	1314
662	1440
663	1522
664	1193
665	1923
666	1665
667	1429
668	1942
669	1685
670	1434
671	1197
672	1444
673	1005
674	1926
675	618
676	1297
677	1197
678	1474
679	1698
680	1899
681	1087
682	1787
683	1124
684	1545
685	1805
686	1701
687	1778
688	1444
689	821
690	1601
691	1419
692	2145
693	2123
694	1427
695	1555
696	2342
697	1302
698	1462
699	1724
700	1318
701	2229
702	1947
703	1893
704	1861
705	1666
706	825
707	1068
708	1873
709	2086
710	1589
711	1680
712	2737
713	1500
714	1684
715	1498
716	1889
717	2325
718	1926
719	1603
720	1424
721	2080
722	1487
723	1989
724	2526
725	1289
726	1747
727	1638
728	1365
729	1788
730	1614
731	831
732	1937
733	1843
734	2618
735	2246
736	1986
737	1211
738	1856
739	1405
740	1878
741	1934
742	1223
743	912
744	1305
745	1758
746	1571
747	1458
748	1182
749	1334
750	1589
751	1855
752	1602
753	963
754	711
755	978
756	2106
757	1763
758	1699
759	1654
760	1181
761	1024
762	2120
763	1536
764	2248
765	860
766	1556
767	1034
768	2403
769	2043
770	1522
771	2021
772	1033
773	1607
774	1067
775	1296
776	1806
777	1833
778	1254
779	1472
780	1646
781	1693
782	1986
783	1351
784	1303
785	1548
786	2178
787	2377
788	2025
789	1794
790	1799
791	2143
792	1463
793	1086
794	2007
795	1828
796	1426
797	2592
798	1184
799	984
800	2058
801	1511
802	830
803	1275
804	1799
805	1704
806	1391
807	1398
808	862
809	2087
810	1507
811	1537
812	1783
813	1204
814	1116
815	2712
816	1509
817	1065
818	1713
819	1220
820	1597
821	1463
822	1641
823	831
824	1766
825	1369
826	1304
827	1117
828	845
829	1526
830	2955
831	1526
832	1350
833	1454
834	1365
835	1984
836	1019
837	2350
838	1900
839	1014
840	1082
841	1175
842	1933
843	2503
844	1417
845	1526
846	882
847	986
848	1909
849	1842
850	1113
851	1331
852	2546
853	1526
854	1404
855	1774
856	1308
857	1726
858	1335
859	1786
860	1888
861	1846
862	1441
863	1723
864	1070
865	1894
866	1666
867	1795
868	1955
869	1269
870	978
871	1829
872	2557
873	2032
874	1043
875	2643
876	2532
877	1055
878	1381
879	2170
880	1388
881	1659
882	1734
883	2099
884	1894
885	1790
886	1482
887	1463
888	1922
889	1580
890	1873
891	1475
892	2457
893	1084
894	746
895	1072
896	1273
897	2165
898	1976
899	717
900	1169
901	1476
902	1610
903	1384
904	1951
905	1178
906	2332
907	2356
908	2183
909	1434
910	2543
911	1123
912	1962
913	1853
914	1161
915	1182
916	1793
917	2633
918	1460
919	1708
920	849
921	774
922	1751
923	1495
924	1524
925	1177
926	1200
927	1198
928	1950
929	1441
930	1687
931	1552
932	1218
933	1373
934	1047
935	2102
936	1631
937	1166
938	2006
939	1912
940	2047
941	1990
942	1090
943	991
944	1734
945	2343
946	1960
947	928
948	1176
949	1145
950	1355
951	905
952	1490
953	1470
954	1580
955	1675
956	1377
957	1078
958	1764
959	1494
960	951
961	1801
962	1037
963	1321
964	1428
965	2490
966	1478
967	1405
968	1679
969	2110
970	2101
971	1677
972	1156
973	1715
974	819
975	1963
976	1094
977	1134
978	2331
979	1391
980	1667
981	1368
