Network size	Joining time (ms)
1	687
2	687
3	678
4	616
5	920
6	573
7	517
8	652
9	654
10	580
11	363
12	1100
13	686
14	930
15	1475
16	900
17	719
18	625
19	934
20	555
21	1631
22	774
23	670
24	1477
25	1635
26	668
27	1181
28	1449
29	2770
30	1164
31	950
32	502
33	1385
34	1016
35	2045
36	976
37	1495
38	908
39	1457
40	716
41	1108
42	824
43	852
44	1152
45	1146
46	867
47	1060
48	992
49	1315
50	784
51	737
52	750
53	1064
54	769
55	1112
56	2019
57	771
58	572
59	1538
60	1073
61	2738
62	1136
63	1220
64	605
65	2618
66	1379
67	921
68	1139
69	1410
70	1348
71	1087
72	1179
73	1114
74	1135
75	2416
76	1834
77	2160
78	1824
79	1669
80	1157
81	1157
82	944
83	1299
84	1015
85	1550
86	1431
87	895
88	1023
89	1454
90	1187
91	839
92	1862
93	1236
94	1546
95	1886
96	988
97	2116
98	1110
99	1777
100	1069
101	1694
102	832
103	1756
104	2273
105	1606
106	482
107	1721
108	819
109	1182
110	1611
111	1362
112	1508
113	1386
114	2023
115	1245
116	2130
117	2053
118	1761
119	1478
120	1824
121	1409
122	1070
123	1099
124	1107
125	321
126	1266
127	1333
128	1326
129	888
130	1288
131	1132
132	999
133	1249
134	1218
135	1713
136	1259
137	1287
138	2977
139	903
140	2230
141	1914
142	1640
143	812
144	1675
145	1451
146	1380
147	1131
148	1138
149	1768
150	1047
151	779
152	1526
153	1164
154	1412
155	1162
156	1494
157	1324
158	1260
159	1622
160	1350
161	1755
162	1625
163	1340
164	1518
165	2070
166	1649
167	1395
168	1237
169	1519
170	1281
171	738
172	1609
173	1182
174	1001
175	1097
176	1662
177	1540
178	1802
179	1472
180	1053
181	1786
182	1577
183	1334
184	1208
185	1987
186	1311
187	1409
188	1410
189	1610
190	2582
191	1884
192	1403
193	758
194	1042
195	788
196	1957
197	1442
198	1694
199	1362
200	1678
201	1843
202	1855
203	2133
204	1050
205	1697
206	1507
207	1437
208	1220
209	1453
210	2818
211	1517
212	2246
213	1538
214	1645
215	1811
216	1404
217	1029
218	1353
219	1723
220	2004
221	1485
222	1836
223	1047
224	1262
225	922
226	1714
227	1736
228	1423
229	345
230	1688
231	2779
232	1239
233	1961
234	1080
235	879
236	1229
237	1300
238	1698
239	952
240	1498
241	1973
242	1865
243	1372
244	1362
245	982
246	1181
247	1241
248	444
249	794
250	1224
251	2764
252	1799
253	1480
254	2478
255	2179
256	2340
257	1180
258	1191
259	1164
260	902
261	2047
262	1870
263	1498
264	1162
265	1190
266	1463
267	2282
268	1442
269	980
270	1160
271	661
272	904
273	1136
274	981
275	1938
276	1180
277	1206
278	1448
279	1355
280	1383
281	1969
282	840
283	1279
284	1253
285	1548
286	747
287	1340
288	1541
289	1552
290	1525
291	1023
292	1045
293	1323
294	1265
295	1109
296	1010
297	848
298	1521
299	1503
300	384
301	1627
302	1105
303	2095
304	1052
305	885
306	1587
307	1050
308	1660
309	2750
310	856
311	2104
312	1131
313	1971
314	534
315	1423
316	1149
317	1224
318	1121
319	1365
320	835
321	1029
322	2474
323	1302
324	664
325	943
326	1663
327	1482
328	2988
329	1038
330	2133
331	1472
332	1954
333	1169
334	2092
335	849
336	2070
337	2379
338	2230
339	2052
340	1384
341	1753
342	1280
343	2194
344	1718
345	1251
346	1097
347	1046
348	1696
349	644
350	1471
351	1901
352	1104
353	1785
354	1173
355	1832
356	2031
357	1325
358	1976
359	2764
360	1435
361	1370
362	1571
363	1548
364	1863
365	1929
366	1636
367	1641
368	2695
369	1827
370	1434
371	952
372	1155
373	1235
374	1581
375	801
376	1466
377	1542
378	1464
379	1913
380	1742
381	1273
382	1166
383	1477
384	2275
385	2129
386	1246
387	1629
388	1468
389	1130
390	1515
391	1723
392	1242
393	1993
394	975
395	1498
396	1355
397	1678
398	1067
399	1860
400	1039
401	1054
402	1625
403	2214
404	1655
405	1159
406	1369
407	1234
408	1403
409	1334
410	2042
411	1842
412	869
413	1982
414	1629
415	1890
416	1728
417	1028
418	1932
419	397
420	676
421	1643
422	1653
423	1313
424	1254
425	1623
426	2275
427	1566
428	1521
429	627
430	1044
