Network size	Time to receive first message time (ms)
1	1724
2	1455
3	1701
4	1010
5	2056
6	1962
7	1200
8	1286
9	1247
10	2497
11	1635
12	1202
13	1350
14	1456
15	1007
16	1166
17	1510
18	1015
19	3140
20	1044
21	1175
22	1810
23	1098
24	1739
25	2087
26	1014
27	2005
28	2063
29	812
30	1063
31	1698
32	2043
33	2154
34	2004
35	1127
36	1223
37	2060
38	2051
39	2094
40	1902
41	1006
42	1212
43	1545
44	2021
45	2014
46	1745
47	706
48	1124
49	2016
50	997
51	1571
52	1760
53	2091
54	2050
55	2114
56	2048
57	1046
58	2228
59	3087
60	1258
61	1175
62	1476
63	3245
64	2195
65	2098
66	2033
67	2080
68	3058
69	1082
70	2250
71	2118
72	1591
73	2138
74	1126
75	2109
76	3129
77	1153
78	1326
79	2199
80	2052
81	3237
82	1093
83	2091
84	2563
85	2079
86	3142
87	2059
88	1105
89	2111
90	2181
91	2096
92	3128
93	2100
94	1232
95	2013
96	3066
97	2075
98	2202
99	3092
100	2145
101	2012
102	2104
103	2018
104	2112
105	2050
106	2117
107	2038
108	2063
109	2129
110	2257
111	2209
112	2353
113	2040
114	2297
115	2065
116	3354
117	2260
118	1236
119	3164
120	3174
121	2575
122	2377
123	3141
124	2253
125	1242
126	2539
127	2361
128	2019
129	3160
130	2316
131	2124
132	3302
133	1699
134	2069
135	2162
136	2296
137	2094
138	2059
139	2166
140	2185
141	2238
142	3105
143	3297
144	2634
145	3089
146	1605
147	2323
148	3290
149	3540
150	2181
151	2303
152	3467
153	2879
154	2328
155	2762
156	2587
157	3146
158	2287
159	2458
160	3573
161	3604
162	3059
163	3773
164	2847
165	2422
166	3511
167	2844
168	3863
169	3567
170	3976
171	3489
172	3471
173	4423
174	3697
175	2756
176	2287
177	3372
178	4526
179	3521
180	4523
181	2473
182	3264
183	2800
184	3336
185	2657
186	2527
187	2232
188	3181
189	4515
190	4064
191	3164
192	6549
193	3618
194	2377
195	6123
196	7149
197	5431
198	3742
199	5748
200	6963
201	4191
202	7036
203	4248
204	7505
205	4318
206	4387
207	5089
208	9336
209	6252
210	3854
211	4068
212	4240
213	3296
214	5050
215	3953
216	3763
217	6801
218	4518
219	3799
220	2389
221	5179
222	5802
223	4982
224	4963
225	3528
226	9388
227	10150
228	9091
229	9231
230	9086
231	9790
232	11299
233	11740
234	15364
235	12520
236	12943
237	15109
238	12547
239	9080
240	8292
241	6365
242	3828
243	6497
244	4511
245	9240
246	6013
247	6160
248	14852
249	12890
250	13742
